Country,Forecast_GDP_1,Forecast_GDP_2,Forecast_GDP_3,Forecast_GDP_4,Forecast_GDP_5,Forecast_GDP_6,Forecast_GDP_7,Forecast_GDP_8,Forecast_GDP_9,Forecast_GDP_10
United Arab Emirates,388356268591.55817,419748704368.76776,453169133697.8342,488748567688.4262,526626480944.01434,566951358314.9482,609881276972.5173,655584526085.7784,704240266530.3395,756039233215.2177
United Kingdom,2806521925910.5947,2778471166763.632,2725380991911.9966,2719385470825.604,2729129660608.6143,2712954293847.04,2690921453123.127,2686996082856.7944,2688175573772.127,2680357006060.095
United States,21488000755181.176,22131638430629.285,22663750981964.09,23108707466866.27,23545037254548.543,24002836029318.832,24472619903317.914,24940719830254.914,25403492159345.312,25863351611307.562
United States Minor Outlying Islands,10020619511.774555,10576214547.890583,11164161512.096714,11783191153.592709,12434692261.201118,13120347502.465797,13841945690.797571,14601370866.755062,15400605952.497082,16241737826.74173
Uruguay,53292736015.266266,52757778247.256424,52117118078.838,51432962072.91821,50745881863.15427,50081432597.152145,49454839459.43511,48874305403.82509,48343336174.95577,47862366076.047005
Uzbekistan,57795605439.0703,54527616410.18445,49831753515.06976,44088724281.69618,37461824968.795105,30282861323.09426,22861650108.877827,15550893935.979162,8694626908.47966,2627844914.4670725
Vanuatu,945418609.0750104,1013902493.2306471,1087332780.0692039,1166066734.6582694,1250487426.339104,1341005592.4983876,1438061636.9550784,1542127772.68526,1653710319.310114,1773352166.5251317
Vietnam,310444475276.1151,357366397002.0603,397408375990.71466,454310960299.65283,524485760436.4209,598039184231.2916,684161099700.0889,786482222529.9941,901466821912.4747,1032886863541.0981
Western Sahara,1819520548047.3853,1885076368977.748,1989409422387.3857,2145332914965.605,2291257958999.4624,2457997454340.467,2653357318836.9497,2854581125943.1426,3072876296108.7114,3312734355260.3706
Yemen,23780268580.054115,26156738429.164974,28754382079.483112,31593783781.365753,34697443524.55903,38089955332.638756,41798202150.99615,45851568872.7,50282175190.295105,55125130118.70139
Zambia,20345741598.740257,22833079492.050983,25601108416.79537,28681503786.00803,32109515518.77671,35924371415.99335,40169726056.239716,44894160348.66246,50151737459.37579,56002621473.03018
Zimbabwe,17687232881.076084,17483476495.300728,17263473266.527035,17082077323.64089,16917879289.821629,16774822131.133556,16648692537.908287,16538204829.949268,16441346950.598799,16356582697.968922
